uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
Q9NVV9	THAP1	55145	Q14498	RBM39	9584	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P15172	MYOD1	4654	Q86TU7	SETD3	84193	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P02340	Trp53	22059	Q9JJP2	Trp73	22062	mouse	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q64249	Nr6a1	14536	Q9WU42	Ncor2	20602	mouse	0915:physical association	0004:affinity chromatography technology
Q9C0B0	UNK	85451	P43243	MATR3	9782	human	0915:physical association	0004:affinity chromatography technology
P04637	TP53	7157	Q99496	RNF2	6045	human	0915:physical association	0004:affinity chromatography technology
P04637	TP53	7157	Q99497	PARK7	11315	human	0915:physical association	0004:affinity chromatography technology
Q15596	NCOA2	10499	O75448	MED24	9862	human	0915:physical association	0364:inferred by curator
P84022	SMAD3	4088	Q6FG41	FOS	2353	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q01101	INSM1	3642	Q6IT96	HDAC1	3065	human	0915:physical association	0004:affinity chromatography technology
Q61188	Ezh2	14056	Q5FW97	Eno1	13806	mouse	0914:association	0096:pull down
Q15910	EZH2	2146	Q96PK6	RBM14	10432	human	0915:physical association	0004:affinity chromatography technology
P03372	ESR1	2099	Q9Y2X0	MED16	10025	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P26367	PAX6	5080	Q6ZW49	PAXIP1	22976	human	0915:physical association	0364:inferred by curator
Q13351	KLF1	10661	Q92793	CREBBP	1387	human	0407:direct interaction	0096:pull down; 0415:enzymatic study
P62509	Esrrg	26381	Q8BW74	Hlf	217082	mouse	0407:direct interaction	0018:two hybrid
Q61539	Esrrb	26380	Q9CQJ4	Rnf2	19821	mouse	0915:physical association	0004:affinity chromatography technology
Q03181	PPARD	5467	P62195	PSMC5	5705	human	0407:direct interaction	0018:two hybrid
Q96N58	ZNF578	147660	Q99750	MDFI	4188	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P47902	CDX1	1044	P49715	CEBPA	1050	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
Q9UKS7	IKZF2	22807	Q13547	HDAC1	3065	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q92793	CREBBP	1387	Q9Y463	DYRK1B	9149	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q8BZ47	Zfp609	214812	Q61066	Nr0b1	11614	mouse	0915:physical association	0004:affinity chromatography technology
Q13127	REST	5978	Q9UKB1	FBXW11	23291	human	0915:physical association	0004:affinity chromatography technology
Q15554	TERF2	7014	Q86VM9	ZC3H18	124245	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0809:bimolecular fluorescence complementation
Q99814	EPAS1	2034	P56693	SOX10	6663	human	0915:physical association	0004:affinity chromatography technology
P17535	JUND	3727	P48431	SOX2	6657	human	0915:physical association	0004:affinity chromatography technology
P70447	Neurog2	11924	P15806	Tcf3	21423	mouse	0407:direct interaction	0096:pull down
P25490	YY1	7528	Q00987	MDM2	4193	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
Q00577	PURA	5813	Q13148	TARDBP	23435	human	0915:physical association	0004:affinity chromatography technology
Q13422	IKZF1	10320	P51532	SMARCA4	6597	human	0407:direct interaction	0096:pull down
Q00978	IRF9	10379	P19838	NFKB1	4790	human	0407:direct interaction	0096:pull down
Q6ZQN5	FOXI2	399823	Q5SQP8	CTBP2	1488	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P41133	Id3	15903	Q60722	Tcf4	21413	mouse	0915:physical association; 0407:direct interaction	0096:pull down; 0397:two hybrid array
O15014	ZNF609	23060	Q6IT96	HDAC1	3065	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P06401	PGR	5241	Q9Y6Q9	NCOA3	8202	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q5MCW4	ZNF569	148266	V9HWG0	CBX5	23468	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P47928	ID4	3400	P27986	PIK3R1	5295	human	0915:physical association	0081:peptide array
P35638	DDIT3	1649	Q99814	EPAS1	2034	human	0407:direct interaction	0055:fluorescent resonance energy transfer
P18848	ATF4	468	P15407	FOSL1	8061	human	0407:direct interaction	0055:fluorescent resonance energy transfer
Q9WUI0	Mixl1	27217	Q64317	Dlx1	13390	mouse	0407:direct interaction	0018:two hybrid
Q33E94	RFX4	5992	P48380	RFX3	5991	human	0915:physical association	0004:affinity chromatography technology
Q15233	NONO	4841	Q9BTT4	MED10	84246	human	0914:association	0007:anti tag coimmunoprecipitation
Q9Y467	SALL2	6297	P55345	PRMT2	3275	human	0915:physical association	0004:affinity chromatography technology
P04637	TP53	7157	P08151	GLI1	2735	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q12948	FOXC1	2296	Q9UKB1	FBXW11	23291	human	0915:physical association	0004:affinity chromatography technology
Q01196	RUNX1	861	Q96PK6	RBM14	10432	human	0407:direct interaction	0096:pull down
P08047	SP1	6667	Q15759	MAPK11	5600	human	0914:association	0019:coimmunoprecipitation
P63015	Pax6	18508	Q99PQ2	Trim11	94091	mouse	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q14653	IRF3	3661	Q9H171	ZBP1	81030	human	0915:physical association	0364:inferred by curator
P08047	SP1	6667	P53999	SUB1	10923	human	0407:direct interaction	0096:pull down
P06733	ENO1	2023	P12931	SRC	6714	human	0407:direct interaction	0415:enzymatic study
Q15366	PCBP2	5094	P01106	MYC	4609	human	0914:association	0676:tandem affinity purification
P17480	UBTF	7343	Q6NZI2	PTRF	284119	human	0915:physical association	0364:inferred by curator
P03372	ESR1	2099	O14776	TCERG1	10915	human	0407:direct interaction	0096:pull down
O14593	RFXANK	8625	P02545	LMNA	4000	human	0915:physical association	0004:affinity chromatography technology
Q8N1G0	ZNF687	57592	Q9H2G4	TSPYL2	64061	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P01101	Fos	14281	O08537	Esr2	13983	mouse	0915:physical association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
P48431	SOX2	6657	Q9P2D1	CHD7	55636	human	0915:physical association	0004:affinity chromatography technology
Q15366	PCBP2	5094	Q01130	SRSF2	6427	human	0915:physical association	0364:inferred by curator
O43829	ZBTB14	7541	Q92993	KAT5	10524	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q00653	NFKB2	4791	Q9Y297	BTRC	8945	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0364:inferred by curator; 0686:unspecified method; 0415:enzymatic study; 1313:bioid; 0004:affinity chromatography technology
P51532	SMARCA4	6597	Q09028	RBBP4	5928	human	0914:association	0401:biochemical
Q9Y2W7	KCNIP3	30818	Q9H0N5	PCBD2	84105	human	0407:direct interaction	0018:two hybrid
Q8WW38	ZFPM2	23414	Q13330	MTA1	9112	human	0915:physical association	0004:affinity chromatography technology
P15336	ATF2	1386	P12004	PCNA	5111	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q7Z3I0	ZNF595	152687	P17275	JUNB	3726	human	0915:physical association; 0407:direct interaction	0096:pull down; 0034:display technology
P28347	TEAD1	7003	P61244	MAX	4149	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q9UBC1	NFKBIL1	4795	O95218	ZRANB2	9406	human	0915:physical association	0004:affinity chromatography technology
P35232	PHB	5245	Q6IT96	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q15797	SMAD1	4086	Q969H0	FBXW7	55294	human	0915:physical association	0397:two hybrid array
Q9NPA5	ZFP64	55734	Q9Y5Q3	MAFB	9935	human	0407:direct interaction	0018:two hybrid
Q9UKL0	RCOR1	23186	P20749	BCL3	602	human	0915:physical association	0004:affinity chromatography technology
P67809	YBX1	4904	P16401	HIST1H1B	3009	human	0914:association	0006:anti bait coimmunoprecipitation
Q8WXI9	GATAD2B	57459	Q15022	SUZ12	23512	human	0915:physical association	0004:affinity chromatography technology
P67809	YBX1	4904	P16403	HIST1H1C	3006	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
O00716	E2F3	1871	Q9BQG0	MYBBP1A	10514	human	0914:association	0096:pull down
Q92793	CREBBP	1387	P16220	CREB1	1385	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0007:anti tag coimmunoprecipitation; 0114:x-ray crystallography; 0047:far western blotting; 0055:fluorescent resonance energy transfer; 0096:pull down; 0004:affinity chromatography technology
P10276	RARA	5914	Q01196	RUNX1	861	human	0915:physical association	0004:affinity chromatography technology
Q99856	ARID3A	1820	P63279	UBE2I	7329	human	0914:association	0006:anti bait coimmunoprecipitation
P05549	TFAP2A	7020	P63279	UBE2I	7329	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0007:anti tag coimmunoprecipitation
P15336	ATF2	1386	P53779	MAPK10	5602	human	0407:direct interaction	0096:pull down; 0415:enzymatic study
Q13127	REST	5978	O75376	NCOR1	9611	human	0915:physical association	0004:affinity chromatography technology
Q01094	E2F1	1869	Q92466	DDB2	1643	human	0915:physical association; 0407:direct interaction	0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
O95863	SNAI1	6615	Q9GZU7	CTDSP1	58190	human	0915:physical association; 0407:direct interaction	0096:pull down; 0415:enzymatic study; 0004:affinity chromatography technology
Q6NUN9	ZNF746	155061	O60260	PARK2	5071	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0415:enzymatic study; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q12986	NFX1	4799	Q96ST3	SIN3A	25942	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q92993	KAT5	10524	Q96BR9	ZBTB8A	653121	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9JI44	Dmap1	66233	Q9CR11	Yeats4	64050	mouse	0914:association	0096:pull down
P55316	FOXG1	2290	O75593	FOXH1	8928	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q969G3	SMARCE1	6605	Q96J02	ITCH	83737	human	0407:direct interaction	0096:pull down
Q8CFN5	Mef2c	17260	O35129	Phb2	12034	mouse	0915:physical association	0004:affinity chromatography technology
Q13285	NR5A1	2516	P35222	CTNNB1	1499	human	0407:direct interaction	0018:two hybrid; 0096:pull down
P11416	Rara	19401	Q60641	Nr1h4	20186	mouse	0915:physical association	0004:affinity chromatography technology
Q15797	SMAD1	4086	P40763	STAT3	6774	human	0915:physical association	0004:affinity chromatography technology
P01108	Myc	17869	Q8C0I4	Epc2	227867	mouse	0914:association	0096:pull down
Q15365	PCBP1	5093	P27986	PIK3R1	5295	human	0915:physical association	0004:affinity chromatography technology
P70434	Irf7	54123	O88522	Ikbkg	16151	mouse	0915:physical association	0006:anti bait coimmunoprecipitation
O08580	Esrra	26379	Q3UNW5	Tfcp2l1	81879	mouse	0914:association	0007:anti tag coimmunoprecipitation
O15105	SMAD7	4092	Q9UNY4	TTF2	8458	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P20226	TBP	6908	P35869	AHR	196	human	0407:direct interaction	0096:pull down
P31266	Rbpj	19664	Q9Z0P7	Sufu	24069	mouse	0407:direct interaction	0018:two hybrid
P35638	DDIT3	1649	Q8N1L9	BATF2	116071	human	0407:direct interaction	0055:fluorescent resonance energy transfer
P23246	SFPQ	6421	Q99717	SMAD5	4090	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P85037	FOXK1	221937	Q6IT96	HDAC1	3065	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q7Z3K3	POGZ	23126	P23511	NFYA	4800	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9H7Z6	KAT8	84148	Q03164	KMT2A	4297	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
P18847	ATF3	467	Q9Y5Q3	MAFB	9935	human	0407:direct interaction	0081:peptide array
Q01664	TFAP4	7023	Q9UKB1	FBXW11	23291	human	0915:physical association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P19793	RXRA	6256	Q86X55	CARM1	10498	human	0915:physical association	0364:inferred by curator
Q16665	HIF1A	3091	Q92769	HDAC2	3066	human	0915:physical association; 0407:direct interaction	0813:proximity ligation assay; 0096:pull down
O14901	KLF11	8462	P45973	CBX5	23468	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q9NYF8	BCLAF1	9774	Q9NPJ6	MED4	29079	human	0915:physical association	0004:affinity chromatography technology
Q13285	NR5A1	2516	P78337	PITX1	5307	human	0407:direct interaction	0096:pull down
P19793	RXRA	6256	P56524	HDAC4	9759	human	0407:direct interaction	0096:pull down
P14653	HOXB1	3211	Q14686	NCOA6	23054	human	0915:physical association	0364:inferred by curator
Q15554	TERF2	7014	O60216	RAD21	5885	human	0915:physical association	0364:inferred by curator
P20226	TBP	6908	Q6ZYL4	GTF2H5	404672	human	0915:physical association	0364:inferred by curator
O60481	ZIC3	7547	P10071	GLI3	2737	human	0407:direct interaction	0096:pull down
P55316	FOXG1	2290	O60341	KDM1A	23028	human	0915:physical association	0004:affinity chromatography technology
P01100	FOS	2353	P84022	SMAD3	4088	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9UPM6	LHX6	26468	Q8IVW6	ARID3B	10620	human	0915:physical association	0004:affinity chromatography technology
P50549	ETV1	2115	Q92831	KAT2B	8850	human	0915:physical association; 0407:direct interaction	0096:pull down; 0415:enzymatic study; 0004:affinity chromatography technology
Q3ZCX4	ZNF568	374900	P45973	CBX5	23468	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P35638	DDIT3	1649	Q9UBN7	HDAC6	10013	human	0915:physical association	0004:affinity chromatography technology
Q00613	HSF1	3297	Q00403	GTF2B	2959	human	0407:direct interaction	0096:pull down
P52952	NKX2-5	1482	Q01844	EWSR1	2130	human	0915:physical association	1313:bioid
Q9Z0S2	Lhx2	16870	Q8K4J6	Mkl1	223701	mouse	0407:direct interaction	0018:two hybrid
P15336	ATF2	1386	P35638	DDIT3	1649	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
Q14814	MEF2D	4209	Q13164	MAPK7	5598	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0415:enzymatic study; 0004:affinity chromatography technology
P15622	ZNF250	58500	Q14592	ZNF460	10794	human	0407:direct interaction	0018:two hybrid
O75478	TADA2A	6871	O60244	MED14	9282	human	0915:physical association	0004:affinity chromatography technology
Q04864	REL	5966	P20226	TBP	6908	human	0407:direct interaction	0096:pull down
Q12986	NFX1	4799	O14980	XPO1	7514	human	0915:physical association	0004:affinity chromatography technology
P47242	Pax9	18511	Q9JKD8	Tbx21	57765	mouse	0407:direct interaction	0018:two hybrid
Q13133	NR1H3	10062	P48443	RXRG	6258	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q07230	Zscan2	22691	Q07279	Nfe2	18022	mouse	0407:direct interaction	0018:two hybrid
P23246	SFPQ	6421	P05412	JUN	3725	human	0914:association	0006:anti bait coimmunoprecipitation
Q64287	Irf4	16364	P23772	Gata3	14462	mouse	0914:association	0006:anti bait coimmunoprecipitation
P78347	GTF2I	2969	Q9Y4K3	TRAF6	7189	human	0407:direct interaction	0018:two hybrid
P35638	DDIT3	1649	Q9HD15	SRA1	10011	human	0407:direct interaction	0047:far western blotting
Q96BT3	CENPT	80152	Q71F23	CENPU	79682	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0364:inferred by curator; 0004:affinity chromatography technology
P19544	WT1	7490	Q96IZ0	PAWR	5074	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
P08048	ZFY	7544	Q96C00	ZBTB9	221504	human	0407:direct interaction	0018:two hybrid
Q9Y3Q8	TSC22D4	81628	Q14145	KEAP1	9817	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P78545	ELF3	1999	P01106	MYC	4609	human	0407:direct interaction	0415:enzymatic study
Q8CFN5	Mef2c	17260	Q8BGW8	Vgll2	215031	mouse	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
Q8NFD5	ARID1B	57492	Q13617	CUL2	8453	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P23611	Irf8	15900	P63280	Ube2i	22196	mouse	0407:direct interaction	0018:two hybrid
Q8IZ26	ZNF34	80778	Q15645	TRIP13	9319	human	0407:direct interaction	0018:two hybrid
O60315	ZEB2	9839	P56524	HDAC4	9759	human	0915:physical association	0004:affinity chromatography technology
P05412	JUN	3725	O75494	SRSF10	10772	human	0914:association	0006:anti bait coimmunoprecipitation
Q15797	SMAD1	4086	Q15583	TGIF1	7050	human	0915:physical association	0004:affinity chromatography technology
P15884	TCF4	6925	Q9UBS8	RNF14	9604	human	0915:physical association	0004:affinity chromatography technology
P18848	ATF4	468	Q6FG41	FOS	2353	human	0915:physical association; 0407:direct interaction	0813:proximity ligation assay; 0055:fluorescent resonance energy transfer; 0081:peptide array
Q60722	Tcf4	21413	Q60867	Neurod1	18012	mouse	0915:physical association	0397:two hybrid array
Q8N720	ZNF655	79027	O94972	TRIM37	4591	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
Q15910	EZH2	2146	P11308	ERG	2078	human	0915:physical association	0006:anti bait coimmunoprecipitation
P43694	GATA4	2626	O00358	FOXE1	2304	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P04637	TP53	7157	O94864	SUPT7L	9913	human	0915:physical association	0004:affinity chromatography technology
P61978	HNRNPK	3190	Q9H3D4	TP63	8626	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q99856	ARID3A	1820	P04637	TP53	7157	human	0915:physical association	0004:affinity chromatography technology
Q9UM63	PLAGL1	5325	Q92793	CREBBP	1387	human	0407:direct interaction	0096:pull down
Q01201	RELB	5971	Q96ST3	SIN3A	25942	human	0914:association	0006:anti bait coimmunoprecipitation
P05412	JUN	3725	A8K7B7	PPP2R1A	5518	human	0914:association	0006:anti bait coimmunoprecipitation
Q02535	ID3	3399	Q68DY1	ZNF626	199777	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P70217	Hoxd13	15433	Q60954	Meis1	17268	mouse	0407:direct interaction	0018:two hybrid
P41134	ID1	3397	Q92785	DPF2	5977	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P20263	Pou5f1	18999	P16951	Atf2	11909	mouse	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q15788	NCOA1	8648	O43513	MED7	9443	human	0915:physical association	0364:inferred by curator
Q92993	KAT5	10524	P04150	NR3C1	2908	human	0407:direct interaction	0018:two hybrid
P38398	BRCA1	672	Q9UKT4	FBXO5	26271	human	0915:physical association	0004:affinity chromatography technology
O95983	MBD3	53615	Q9NRM2	ZNF277	11179	human	0407:direct interaction	0018:two hybrid
P10275	AR	367	Q9Y4E5	ZNF451	26036	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P20749	BCL3	602	P20226	TBP	6908	human	0407:direct interaction	0096:pull down
Q96LX8	ZNF597	146434	Q99549	MPHOSPH8	54737	human	0915:physical association	0004:affinity chromatography technology
P13682	ZNF35	7584	P16220	CREB1	1385	human	0407:direct interaction	0018:two hybrid
P10276	RARA	5914	A6NIX2	WTIP	126374	human	0915:physical association	0004:affinity chromatography technology
Q9Y462	ZNF711	7552	O14862	AIM2	9447	human	0914:association	0007:anti tag coimmunoprecipitation
P03372	ESR1	2099	Q96KQ7	EHMT2	10919	human	0407:direct interaction	0096:pull down
P19793	RXRA	6256	P62195	PSMC5	5705	human	0407:direct interaction	0018:two hybrid; 0096:pull down
Q3URU2	Peg3	18616	Q921E6	Eed	13626	mouse	0915:physical association	0004:affinity chromatography technology
O95983	MBD3	53615	P05412	JUN	3725	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q04864	REL	5966	P46531	NOTCH1	4851	human	0915:physical association	0007:anti tag coimmunoprecipitation
Q9NP62	GCM1	8521	Q9UQL6	HDAC5	10014	human	0915:physical association	0004:affinity chromatography technology
O96028	WHSC1	7468	Q8IYW5	RNF168	165918	human	0915:physical association	0364:inferred by curator
P10588	NR2F6	2063	P05412	JUN	3725	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q07279	Nfe2	18022	Q8VDQ8	Sirt2	64383	mouse	0407:direct interaction	0018:two hybrid
Q92793	CREBBP	1387	O15111	CHUK	1147	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0415:enzymatic study; 0004:affinity chromatography technology
P10588	NR2F6	2063	P83916	CBX1	10951	human	0915:physical association; 0407:direct interaction	0096:pull down; 0034:display technology; 0676:tandem affinity purification
Q14938	NFIX	4784	O00712	NFIB	4781	human	0407:direct interaction	0096:pull down
Q99853	FOXB1	27023	Q9Y3T9	NOC2L	26155	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q9Z2D6	Mecp2	17257	P63158	Hmgb1	15289	mouse	0407:direct interaction	0096:pull down; 0084:phage display
Q12830	BPTF	2186	O95503	CBX6	23466	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q01826	SATB1	6304	P17542	TAL1	6886	human	0915:physical association	0004:affinity chromatography technology
P61371	ISL1	3670	Q8TE12	LMX1A	4009	human	0407:direct interaction	0096:pull down
Q04864	REL	5966	Q7Z398	ZNF550	162972	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P38398	BRCA1	672	P54274	TERF1	7013	human	0915:physical association	0004:affinity chromatography technology
Q99623	PHB2	11331	P24941	CDK2	1017	human	0915:physical association	0004:affinity chromatography technology
O54941	Smarce1	57376	P97496	Smarcc1	20588	mouse	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
P35548	MSX2	4488	Q9H7S9	ZNF703	80139	human	0915:physical association	0004:affinity chromatography technology
P26367	PAX6	5080	Q96F44	TRIM11	81559	human	0915:physical association	0018:two hybrid
O15516	CLOCK	9575	Q10586	DBP	1628	human	0407:direct interaction	0018:two hybrid
P10276	RARA	5914	Q14258	TRIM25	7706	human	0914:association	0096:pull down
Q8K5C0	Grhl2	252973	Q3UNW5	Tfcp2l1	81879	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q03060	CREM	1390	Q13547	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
Q92784	DPF3	8110	Q13562	NEUROD1	4760	human	0915:physical association	0004:affinity chromatography technology
P52747	ZNF143	7702	Q9H1D9	POLR3F	10621	human	0915:physical association	0364:inferred by curator
Q9UKS7	IKZF2	22807	P56545	CTBP2	1488	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P05412	JUN	3725	P11308	ERG	2078	human	0407:direct interaction	0096:pull down
Q9HBZ2	ARNT2	9915	Q8IUM7	NPAS4	266743	human	0407:direct interaction	0018:two hybrid
Q9NZI7	UBP1	7342	Q9UJU5	FOXD3	27022	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
